bitmap   W          bitmap_io.c:215  al_load_bitmap_flags             [   0.00000] No handler for bitmap extensions .bmp - therefore not trying to load plansza1.bmp.
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10360] PathFindOnPath failed to find d3dx9_27.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10367] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10426] PathFindOnPath failed to find d3dx9_26.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10433] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10492] PathFindOnPath failed to find d3dx9_25.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.10499] Also searching C:\Users\JJ\Desktop\PJP_W1\WorkingCopy\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.10565] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.10569] Failed to load D3DX9 library. Library is not installed.dtor     D               dtor.c:196  _al_register_destructor          [   0.10580] added dtor for queue 01287428, func 0F2E2379
dtor     D               dtor.c:196  _al_register_destructor          [   0.10583] added dtor for timer 0120BFA8, func 0F2E1730
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.10588] opening plansza1.bmp rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10627] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10631] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10633] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10635] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10638] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10640] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10643] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10645] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.10649] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.10653] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.10656] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.10659] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.10661] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.10730] added dtor for bitmap 01288700, func 0F2E222A
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.11532] opening display_section1.bmp rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11570] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11573] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11575] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11577] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11580] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11582] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11585] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11587] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11590] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.11593] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.11595] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.11598] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.11600] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.11639] added dtor for bitmap 01290B18, func 0F2E222A
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.12957] opening display_section2.bmp rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.12994] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.12997] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13003] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13005] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13008] Fake format
